类别,来源,标题,内容,时间,当前链接,上级链接,下载时间
视频,未知,云南大埋洱海今年实行全年封湖禁渔,,1-2 09:49,http://www.chinanews.com/sh/shipin/2019/01-02/news798066.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:30
社会,中国新闻网 　,乌鲁木齐“民航人”同唱一首歌欢庆新年 文艺表演温暖出行人,"  
　　中新网乌鲁木齐1月2日电 (杨晓琴)1日，乌鲁木齐“民航人”同唱一首歌欢庆新年到来，温暖每一位出行的“家人”。

　　乌鲁木齐国际机场为了丰富旅客节日期间出行路上的文化生活，让旅客度过一个快乐的元旦。乌鲁木齐国际机场分公司精心策划，由安全检查总站的安检员们在航站楼内开展了以“全城同唱一首歌”为主题的文艺演出，让从乌鲁木齐国际机场出行的旅客们感受到这座城市带来的别样的温暖和惊喜。



安检员们在航站楼内文艺演出。　刘琰 摄

　　据悉，乌鲁木齐国际机场分公司通过文艺演出温暖每一位出行的“家人”。与旅客同唱一首歌《我和我的祖国》，嘹亮的歌声响遍整个候机楼。

　　在现场演员的带动下，平静的候机厅内素不相识的人群中传递出阵阵欢声笑语，此次“全城同唱一首歌”主题活动获得了旅客的纷纷点赞。(完)


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 09:49,http://www.chinanews.com/sh/2019/01-02/8717601.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:30
社会,北京青年报 　,北京市2018年完成2.36万户棚改任务,"  　　23个棚改项目全部完成住宅签约或地上物拆除 涉及人口约15.2万人　　本市2018年完成2.36万户棚改任务　　民生实事看落实　　本报讯（记者　李天际）北京青年报记者昨日从市重大项目办了解到，2018年全市累计完成棚户区改造(征收、拆迁、腾退协议签订)34323户，占全年任务的146%，涉及人口约15.2万人，占全年任务的180%，超额完成2.36万户的全年改造任务。　　为改善居民居住条件、提高群众居住质量，棚户区改造作为北京市2018年重要民生实事中一项重要任务，要求全年完成改造2.36万户。以石景山区北辛安（回迁安置房和公共服务配套地块）、东城区天坛东里北区1-8号楼、丰台区青塔南里、顺义区原涤纶厂及维尼纶厂、怀柔区怀北镇怀北庄村等为代表的23个棚改项目完成全部住宅签约或地上物拆除，对于后续安置房建设尽早开工、动迁居民加快回迁、平衡资金地块土地加快上市，将发挥积极的推动作用。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




　　去年7月，顺义区牛栏山镇原涤纶厂及维尼纶厂生活区棚改项目在签约期限20天内完成100%签约。棚改工作人员挨家挨户讲政策，社区老党员主动带动身边邻里亲朋支持棚改，在签约期的最后一天，随着最后一户居民签下名字，19个楼、19个平房共868户全部签约。　　作为今年北京市重要民生实事项目的一部分，石景山区北辛安棚改项目、衙门口棚改土地开发项目为本市完成2018年棚户区改造任务贡献率接近20%，对于石景山区改善民生、提升冬奥首钢赛区周边环境、向世界展示石景山区良好形象具有重要意义。　　其中，北辛安棚改项目涉及6000余户居民，目前搬迁率已超过99%，30家、30万平方米国地非住宅全部拆除，这对于该地区消除违法建设、疏解低端业态、引导产业提升发展效果明显。　　同时，该项目回迁安置房已实现开工，部分楼栋结构已封顶，公共服务配套和市政基础设施建设正在同步进行，确保了居民满意回迁入住。此外，项目内部分经营性用地已完成供地，平衡资金商品房销售1700余套，回笼建设资金约100亿元，实现项目资金总体平衡。　　市重大项目办相关负责人介绍说，2018年棚改任务的超额完成，促进了本市“疏解整治促提升”专项行动进一步走向深入，群众住房困难得到明显改善，居民居住环境和周边市政条件得到显著提升，城市“留白增绿”效果进一步显现，市民群众的获得感进一步增强。  

      ",1-2 09:49,http://www.chinanews.com/sh/2019/01-02/8717678.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:31
视频,未知,分娩镇痛试点开启后首个宝宝出生,,1-2 09:48,http://www.chinanews.com/shipin/2019/01-02/news798071.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:31
华人,中国新闻网 　,“诋毁中餐”付代价？ 美名厨齐默恩节目遭停播,"  
　　中新网1月2日电 据美国中文网援引《纽约邮报》报道，2018年11月，美国知名厨师、美食节目主持人安德鲁·齐默恩(Andrew Zimmern)因为在采访中说美国中西部中餐馆“像屎一样”，遭到很多批评。一个多月过去，这件事引起的余波仍未结束，近日，齐默恩的节目遭到停播。

　　齐默恩本来在美国旅游频道上有两档节目——《古怪食物》以及《齐默恩的名单》，原本都在星期六上午10点的黄金时段播出。现在，这两档节目都已被旅游频道的母公司探索传播公司决定停播，还未完结的最新一季也就此中断。



资料图片：国外民众购买中国美食。

　　报道称，往期的节目目前还会在周六上午重播，但两档节目都已停止新的录制，也没有以后会恢复的迹象。

　　11月，齐默恩在谈及自己刚在美国中西部明尼苏达州开张的中餐馆“幸运蟋蟀”时说道：“对于中西部那些只能去屎一样的餐馆吃假中餐的人来说，我想我是拯救了他们的灵魂。”

　　这句话被播出后引发了巨大的舆论反应，许多在美华裔对此表示愤怒。他们认为齐默恩觉得自己比华人更懂中餐的高傲态度是自大的表现，而他对代表着一代华裔移民辛酸史的美式中餐的诋毁，更是不可原谅。之后，齐默恩在自己境外社交网站的页面上发表了道歉声明。

　　不过，旅游频道否认了齐默恩节目停播与他被指诋毁中餐一事有关，称停播决定早在该争议开始之前就做出了。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 09:48,http://www.chinanews.com/hr/2019/01-02/8717672.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:31
社会,北京青年报 　,六只南极企鹅“小住”陶然亭公园,"  　　住进玻璃房 白雪当床铺 食材都空运 吃饭讲究多       六只南极企鹅“小住”陶然亭公园　　小企鹅爱吃新鲜的多春鱼、海鲅鱼和鲐鱼，却很少喝水 摄影/本报记者 刘畅　　元旦小长假，陶然亭公园南湖雪场的六只小企鹅备受热捧，吸引了近万游客争相围观。这些来自南极的小企鹅能否适应北京的气候环境？昨天，北京青年报记者来到陶然亭公园，跟随饲养员走进幕后，揭秘小企鹅的日常起居生活。　　据饲养员张帅透露，这六位“贵客”吃得十分讲究，不仅要保障食材新鲜，还要品相俱佳，“如果鱼嘴缺一块儿，企鹅都不吃。”同时，企鹅住得也很挑剔，即使在数九寒冬，也要随时防备它们“中暑”。　　六只南极小企鹅 吸引近万游客驻足　　“快看！这里有企鹅！”昨天下午，北青报记者来到陶然亭公园南湖北岸，六只憨态可掬的小企鹅在透明玻璃房子里昂首阔步，面对眼前30多名围观群众毫不怯场，甚至镜头感十足。元旦小长假，小企鹅受到游客热捧，吸引了近万人竞相围观。　　据饲养员张帅介绍，这六只企鹅是三对夫妻，其中有一对个头儿很高，身高达到90厘米左右，称为“王企鹅”。它们长相绅士，是南极企鹅中姿势最优雅、性情最温顺、外貌最漂亮的一种。另外两对企鹅最明显的特点是眼睛上方有长长的黄色“眉毛”，但是身高却只有王企鹅的一半。张帅说，它们叫“跳岩企鹅”，大多住在多岩石的岛上，善于从一块石头上跳到另一块石头上，因此有了这个名字。与王企鹅不同，别看跳岩企鹅身材娇小、体态玲珑，脾气却十分暴躁，有时会张着嘴大叫，仿佛在吵架。　　在雪场开放前四天，六只小企鹅就来到了陶然亭公园，为的是提前适应环境。张帅说，它们虽属同一物种，但过去并未一起生活过，如今放在一个房间内，需要一段时间适应。“刚进去的时候也会争夺地盘，甚至用嘴和身体驱赶不喜欢的同伴。但是毕竟企鹅的性情比较温顺，相处一段时间后就相安无事了。”　　遮阳伞+冰块 数九寒天防“中暑”　　这六只小企鹅是陶然亭公园的“贵客”，饲养人员24小时全天陪护，悉心照料。　　饲养员在观赏区域里，搭建了一个近20平方米的玻璃房，小企鹅白天就生活在这里。“企鹅适宜生活的环境温度在0℃以下，如果升温幅度较大，即使在数九寒天里，企鹅也会不适应。”张帅说，搭建玻璃房的目的就是为了给小企鹅营造适宜的环境。　　北青报记者在现场看到，房子里悬挂着一支温度表。每隔两小时，张帅都要看一看。“一旦房间内高于5℃了，就要给玻璃房里增加冰块、铺洒新雪，进行物理降温。”同时，在玻璃房的东西两侧，还有两面硕大的遮阳伞，“如果白天温度较高，我们会根据太阳所处位置，打开相应的遮阳伞，给小企鹅创造一个阴凉的环境……我们笑称：这是数九寒天里的‘避暑’措施！”　　到了夜晚，小企鹅会回到北侧的房间里。饲养员就睡在“隔壁”，与小企鹅只有一墙之隔。墙面上还有一个小窗户，方便饲养员随时观察小企鹅的一举一动。小企鹅的寝室很简单，只在地面上铺设了一层厚厚的雪。然而，准备工作从下午就开始了——给小企鹅“铺床”。张帅说，企鹅爱干净，对居住环境很挑剔。饲养员每天都要更换重铺地上的雪，用铁锹拍平压实，并在空气中喷洒消毒液进行灭菌处理。等小企鹅回房间了，饲养员又开始更换玻璃房里的雪……　　企鹅吃饭讲究多 食材新鲜品相佳　　提起吃饭，小企鹅也十分讲究。它们爱吃新鲜且品相好的多春鱼、海鲅鱼和鲐鱼，却很少喝水。　　每天凌晨三点，张帅就要起床为小企鹅准备早餐了。据介绍，为保证食材新鲜，这些纯天然无污染的海鱼经过快速冷冻，直接空运至北京。“我要做的工作就是提前解冻，然后要从中挑选出外观完整、品相好的鱼。如果鱼嘴缺一块儿，企鹅都不吃。”张帅说，“你想啊，企鹅在野外生存的时候，是自己捕鱼的，它们也会挑好看的鱼吃！”　　小企鹅每天吃两顿饭，分别是早上八点和晚上七点，这两个时间段都不是雪场的开放时间，可以避免游客围观打扰。　　在饲养员的精心呵护下，这些憨态可掬的小企鹅都以饱满的精神状态迎接游客的“检阅”。据悉，预计它们将在陶然亭公园居住到2月11日，具体时间要视天气情况而定。　　文/本报记者 王斌　　视频拍摄/本报记者 刘畅


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 09:47,http://www.chinanews.com/sh/2019/01-02/8717675.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:32
娱乐,北京青年报 　,《地球最后的夜晚》“年度期待”梦碎,"  　　毕赣导演的第二部电影《地球最后的夜晚》于2018年12月31日上映，因“一吻跨年”的营销口号，使得影片首日票房就超过2亿。然而，原本不会去看文艺片的观众因“一吻跨年”的噱头走入了影院，最后却没有看到想看的电影，而电影也没有获得能够懂得自己的知音。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




　　在2019年的第一天，该片票房大幅度下滑，豆瓣评分6.8、猫眼评分3.1、淘票票3.4。观影者“看不懂”的影评也在一定程度上影响了该片的口碑。　　大咖加盟为电影升级　　出生于1989年的导演毕赣可谓一鸣惊人，2015年的导演首秀《路边野餐》被喻为神作，虽然很多观众难以完全看懂，但依然会被这部电影的诗意和梦幻所打动。　　于是，毕赣立刻成了“潜力股”，汤唯、黄觉等名人纷纷为毕赣站台，黄晓明也表示愿意投资毕赣新片，即使赔钱也要投。　　2018年，毕赣导演的第二部电影《地球最后的夜晚》隆重推出，汤唯、黄觉、张艾嘉等大咖加盟，与《路边野餐》时的素人演员相比，绝对算得上是升级换代。　　《地球最后的夜晚》是一部面对自我记忆、家庭关系的电影。由黄觉饰演的男主角回到贵州，偶然发现了汤唯饰演的“神秘女子”的踪迹，继而回想起十二年前与她度过的那个秘密夏天。汤唯饰演的角色则是在现实与记忆中切换。　　相比于《路边野餐》，虽然《地球最后的夜晚》投资加大，又有明星加持，但主题仍是毕赣的“寻找”，依旧是他热爱的梦境、诗意与长镜头。片中诗一样的语言，也呼应着《路边野餐》里的那些诗句。　　“一吻跨年”让票房破纪录　　毕赣的电影称得上是文艺片中的文艺片，其受众显然更适合文艺青年，但是影片发行方想出了一个“一吻跨年”的营销方式。此前，发行方写给全国各院线、影院一份跨年活动声明：“这也是2018年的最后一部电影，影院可选本片做跨年活动，可选择在12月31日21点50分开场，影片结束时恰好就是0点0分跨年那一刻。观众可以与最重要的人一起度过一个最有仪式感的夜晚，一吻跨年！”宣传方还将观众顺利发展至三四线的“小镇青年”，最终影片首日就创下文艺片预售票房最高纪录，而《路边野餐》的总票房也不过600多万。　　之前有人曾问毕赣如何看待这场营销，毕赣回应说：“这是一部非常艺术化的电影，我的宣发同事不偷不抢不下跪，靠自己的能力，靠自己的知识做一件事情，我没有觉得他们有任何过错。我非常尊重他们。”　　观众观影后差评不断　　猫眼专业版显示，《地球最后的夜晚》在2018年12月31日上映首日的排片占比达到了70%以上，次日便开始断崖下跌，排片占比仅在30%，可见在“一吻跨年”的营销之后，影片已经回到了一个正常文艺片该有的体量。　　据猫眼专业版数据显示，《地球最后的夜晚》用户活跃城市占比中，二三四线城市用户群体都大过了一线城市，其中二线城市更是达到了42.5%。此外，艺恩数据的票房分布显示，一线城市对《地球最后的夜晚》预售票房的贡献率仅有6.3%。　　值得注意的是，首日预售的高票房造成观众认为“观影与预期不符”，很多观众在观影之后纷纷给了《地球最后的夜晚》差评。有观众表示“从头到尾都没看懂啥意思”，甚至被评价为“有史以来最无聊没有之一的电影”，影片从“年度期待”，变为“年度最烂”。　　观众的负面影评也直接影响到了影片的退票率。猫眼数据显示，2018年12月31日，《地球最后的夜晚》大盘退票人次为31.9万，大盘退票率为4.4%，远高于同档期影片《来电狂想》1.2%和《海王》1.0%的大盘退票率。　　客观地说，称《地球最后的夜晚》是烂片有些不公正，因为毕赣完全专注于个人化的诗意表达，这是他的语言方式，但与《路边野餐》相比，《地球最后的夜晚》在用同样的剪辑方式来呈现梦与现实，没有任何创新与突破，这就让识破了他手法的观众感到倦怠。另一方面，营销的成功使得一些不会喜欢文艺片的观众也进入了影院，然而影片在“浪漫爱情”包裹之下，讲的却是一个晦涩的梦境，很容易造成观众在观影前后的心理反差。　　尽管该片首日票房超过2亿，但是却也严重透支了影片的声誉。而随着观影后口碑的“崩坏”，网上已有不少观众退票，如果因观众反噬遭遇口碑下滑，那该片的后续票房并不乐观。　　文/本报记者 肖扬  

      ",1-2 09:46,http://www.chinanews.com/yl/2019/01-02/8717674.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:32
财经,中国新闻网 　,新疆喀纳斯冬季旅游热 游客大呼过瘾,"  
　　中新网新疆阿勒泰1月2日电(勉征)元旦伊始，泼雪狂欢、雪地刁羊、马拉爬犁……诸多特色赏雪活动，在新疆喀纳斯禾木景区惊艳开幕。

　　1月1日，第十一届喀纳斯冰雪风情旅游节暨泼雪狂欢节在新疆喀纳斯禾木开幕，来自全国各地的近千名游客齐聚禾木，共享冰雪乐趣。

　　喀纳斯景区位于新疆西北部阿勒泰地区，“喀纳斯”意为“美丽而神秘的湖”。景区中高山冰川、森林草原、河流湖泊、温泉湿地、沙漠戈壁种类齐全。



现场举办刁羊活动。　勉征 摄

　　近年来，阿勒泰地区推出多项旅游优惠政策，着力改造冬季旅游基础设施，丰富冬季旅游业态。

　　当天正直元旦新年，活动现场，当地民众身着民族服饰，喜迎八方来客。游客们以泼雪的形式相互表达对新年的祝福。

　　据了解，此次喀纳斯冰雪风情旅游节暨泼雪狂欢节，喀纳斯景区将冰雪资源、民俗活动及体育竞技相结合。游客们不仅能看到壮美雪景，还能体验多种雪上娱乐活动。

　　记者在现场看到，游客们正在体验马拉爬犁、古老滑雪、雪地摩托、热气球、泼雪、跳雪等项目。当地民众表演的传统射箭、传统摔跤、姑娘追、刁羊、赛马等活动也吸引了不少游客围观。



游客体验“跳雪”项目。　勉征 摄

　　“太过瘾了！我们来新疆很多次了，新疆春、夏、秋三季美景都看过，这回就是专程来北疆感受冰雪。这里更辽阔、更有民俗特色。”北京游客陈先生告诉记者，他和朋友非常喜欢在当地牧民家中做客的体验。

　　近年来，阿勒泰地区加快以旅游业为主体的经济高质量发展，冬季旅游“四区一带”、夏季旅游“三轴N环”发展体系初具雏形，阿勒泰冬季旅游品牌影响力持续扩大。“本届喀纳斯冰雪风情旅游节暨泼雪狂欢节是地区冬季旅游系列节庆活动的重要一环，是地区在承办“冬游新疆·走进中国雪都阿勒泰”中国西部冰雪旅游节暨新疆第十三届冬季旅游产业交易博览会后的一支续曲，接下来我们还将以禾木“过大年”为主题，丰富赏雪、戏雪、泼雪、跳雪、雪上徒步等冬季休闲雪上活动，吸引更多的游客来到阿勒泰，来到喀纳斯体验冰雪的乐趣，真正将“冷资源”转“热经济”，让“冰天雪地也是金山银山”在阿勒泰得到充分展现。”阿勒泰地委副书记、黑龙江省对口支援新疆前方指挥部总指挥李兵说。



1月1日，第十一届喀纳斯冰雪风情旅游节暨泼雪狂欢节在新疆喀纳斯禾木开幕。　勉征 摄

　　针对游客及旅行社，景区还设立了一系列的优惠政策，从景区门票到宾馆住宿，再到游玩体验都推出了一价全包、冰雪定制等各类优惠活动。目前，景区对于道路积雪的清扫、道路安全保证、道路的引导，包括旅游沿线的各个休息点、服务区等地都做了完善的服务保障，保证每一名来到喀纳斯的游客放心、安心游玩。(完)


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 09:46,http://www.chinanews.com/cj/2019/01-02/8717600.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:32
台湾,中国新闻网 　,1艘货轮翻覆13人等待救援 台湾直升机舰艇前往,"  
　　中新网1月2日电 据台湾《联合报》报道，早上7点05分，通报显示1艘货轮在台北松山东北方190海里处翻覆，船上有13人等待救援。台湾S-70C直升机从台北松山起飞，台湾海巡单位“连江舰”也赶往救援。

　　台湾搜救中心指出，早上7点05分接到通报称，有渔船在台北松山东北方190海里的海上救起2名船员。获救船员表示，其搭乘1艘货轮，船上有15人，该船已翻覆，目前仍有13人等待救援，情况危急。

　　台湾搜救中心派遣舰艇、直升机前往搜救。

　　早上7点26分，1架S-70C直升机从台北松山起飞，并通报附近过往船只协助救援。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 09:46,http://www.chinanews.com/tw/2019/01-02/8717673.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:32
台湾,中国新闻网 　,台北元旦湿冷跨年：人潮少了、垃圾也少了0.7吨,"  
　　中新网1月2日电 据台湾《联合报》报道，台湾元旦跨年晚会碰上天冷飘雨，人潮较以往少，为加速恢复市容，凌晨活动一结束，台北市环保局14辆小型扫街车与750名清洁队员随即上阵，迅速清扫环境。据统计，这次跨年清理的一般垃圾共8.8吨，较前一年跨年活动的9.5吨，减少0.7吨，减量达7.3%。



2019年1月1日零时，数以万计的台湾民众与海内外游客冒雨在台北信义区观赏101大楼烟火表演，迎来新年。中新社记者 刘舒凌 摄

　　当晚，张惠妹登台飙唱多首歌曲，跨年气氛冲上高峰，歌曲《三天三夜》更让现场high翻天。台北市环保局副局长卢世昌说，这次检举噪音共2件，但因天雨机器无法在户外淋雨，未测量噪音分贝数，也未开罚。

　　另外，台北市环保局还依“废弃物清理法”，告发乱丢烟蒂等违规行为共13件，开罚新台币1200元至6000元罚锾。

　　台北市环保局环境清洁管理科长黄宽助表示，今年资源回收量为7.1吨，也较前一年减少0.1吨，总废弃物量15.9吨，减少0.8吨，过去复原场地约需一小时以上，今年一小时内就完成工作。

　　整体垃圾量较去年减少，但黄宽助说，因为降雨，垃圾易沾黏在路面，喷洒的彩带、民众随意丢弃的轻便雨衣、塑料坐垫等，是这次跨年晚会常见垃圾，而清洁队员穿上雨衣不便行动，也影响完成速度。

　　除环保局派出750名清洁队员，此次还有3大学生义工团体、600多名同学参加，学生义工以实际捡拾清扫行动，倡导跨年民众落实环保。

　　其中“环保星势力志工队”已连续5年参与跨年清扫，创办人李明峰说，这次号召台湾北部25所高中职及大专院校150多名学生报名参与，在晚会周边快闪倡导及提供环保服务，盼唤醒大众重视环境保护。


    /*300*250 原生 创建于 2016-03-03*/
    var cpro_id = ""u2540721"";




  

      ",1-2 09:44,http://www.chinanews.com/tw/2019/01-02/8717671.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-01-02 19:36:33
